================================================================================
SCHEMA
--------------------------------------------------------------------------------
ENTITY TYPES: 22 types
  Abbreviation
  AlternativeName
  Application_Creation
  Application_Deposition
  Application_Mention
  Application_Usage
  Citation
  Developer
  Extension
  License
  OperatingSystem_Mention
  OperatingSystem_Usage
  PlugIn_Creation
  PlugIn_Deposition
  PlugIn_Mention
  PlugIn_Usage
  ProgrammingEnvironment_Mention
  ProgrammingEnvironment_Usage
  Release
  SoftwareCoreference_Deposition
  URL
  Version
--------------------------------------------------------------------------------
RELATION TYPES: 11 types
  Abbreviation_of(
    Abbreviation|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  AlternativeName_of(
    AlternativeName|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Citation_of(
    Citation,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Developer_of(
    Developer,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Extension_of(
    Extension,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  License_of(
    License,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  PlugIn_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Release_of(
    Release,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Specification_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  URL_of(
    URL,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Version_of(
    Version,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
================================================================================
train/Creation_sentences: 66 units
  PMC1283974:    862 chars, 14 entities,  5 relations
  PMC4423990:     64 chars,  4 entities,  2 relations
  PMC4433227:     52 chars,  2 entities,  1 relations
  PMC4454565:     76 chars,  2 entities,  1 relations
  PMC4454696:    188 chars,  8 entities,  6 relations
  PMC4460094:    122 chars,  2 entities,  1 relations
  PMC4465675:     47 chars,  2 entities,  1 relations
  PMC4466912:     88 chars,  1 entities,  0 relations
  PMC4474638:    180 chars,  5 entities,  3 relations
  PMC4477874:    102 chars,  3 entities,  2 relations
  PMC4481314:     87 chars,  3 entities,  2 relations
  PMC4524681:    179 chars,  4 entities,  3 relations
  PMC4546275:    229 chars,  4 entities,  2 relations
  PMC4558049:    206 chars,  6 entities,  4 relations
  PMC4575027:    164 chars,  2 entities,  1 relations
  PMC4580648:    807 chars,  5 entities,  1 relations
  PMC4591118:    228 chars,  2 entities,  1 relations
  PMC4591998:     83 chars,  4 entities,  2 relations
  PMC4592235:    231 chars,  0 entities,  0 relations
  PMC4599893:     71 chars,  2 entities,  1 relations
  PMC4636431:    248 chars,  2 entities,  1 relations
  PMC4651293:     81 chars,  4 entities,  3 relations
  PMC4654502:    164 chars,  4 entities,  2 relations
  PMC4657964:    102 chars,  7 entities,  4 relations
  PMC4675522:    213 chars,  1 entities,  0 relations
  PMC4684369:    120 chars,  2 entities,  1 relations
  PMC4686167:     63 chars,  3 entities,  1 relations
  PMC4692284:     50 chars,  3 entities,  2 relations
  PMC4696826:     82 chars,  3 entities,  2 relations
  PMC4697474:    126 chars,  1 entities,  0 relations
  PMC4699918:     86 chars,  3 entities,  2 relations
  PMC4701397:     90 chars,  4 entities,  3 relations
  PMC4701450:     73 chars,  3 entities,  2 relations
  PMC4703213:     40 chars,  1 entities,  0 relations
  PMC4712064:    163 chars,  4 entities,  3 relations
  PMC4720425:    117 chars,  4 entities,  3 relations
  PMC4721654:     99 chars,  1 entities,  0 relations
  PMC4721672:    147 chars,  1 entities,  0 relations
  PMC4723157:    114 chars,  4 entities,  3 relations
  PMC4725670:     65 chars,  2 entities,  1 relations
  PMC4725728:    105 chars,  4 entities,  3 relations
  PMC4728114:    211 chars,  3 entities,  2 relations
  PMC4731070:    244 chars,  2 entities,  1 relations
  PMC4732751:     41 chars,  1 entities,  0 relations
  PMC4734597:     95 chars,  4 entities,  2 relations
  PMC4734618:     55 chars,  2 entities,  1 relations
  PMC4734710:    133 chars,  4 entities,  2 relations
  PMC4743937:    129 chars,  1 entities,  0 relations
  PMC4755532:     63 chars,  2 entities,  1 relations
  PMC4794244:     89 chars,  2 entities,  1 relations
  PMC4798575:     50 chars,  3 entities,  2 relations
  PMC4805189:    156 chars,  3 entities,  2 relations
  PMC4805194:     53 chars,  3 entities,  2 relations
  PMC4814065:     87 chars,  3 entities,  2 relations
  PMC4825976:    182 chars,  1 entities,  0 relations
  PMC4830594:     98 chars,  6 entities,  4 relations
  PMC4833310:    268 chars,  1 entities,  0 relations
  PMC4833339:     92 chars,  3 entities,  2 relations
  PMC4833352:     69 chars,  2 entities,  1 relations
  PMC4839683:    132 chars,  3 entities,  2 relations
  PMC4849643:    107 chars,  3 entities,  2 relations
  PMC4849764:    108 chars,  4 entities,  2 relations
  PMC4877066:     72 chars,  1 entities,  0 relations
  PMC4883798:    138 chars,  2 entities,  1 relations
  PMC4896451:    222 chars,  1 entities,  0 relations
  PMC4900553:    263 chars,  4 entities,  2 relations
  PMC4907437:     81 chars,  4 entities,  2 relations
  PMC4930171:     88 chars,  2 entities,  1 relations
  PMC4933363:    382 chars,  1 entities,  0 relations
  PMC4938214:     51 chars,  2 entities,  1 relations
  PMC4944962:    171 chars,  3 entities,  2 relations
  PMC4956302:    217 chars,  2 entities,  1 relations
  PMC4963105:     61 chars,  3 entities,  2 relations
  PMC4972395:     99 chars,  3 entities,  2 relations
  PMC4973914:    184 chars,  4 entities,  2 relations
  PMC4982625:    167 chars,  2 entities,  0 relations
  PMC4987013:     60 chars,  2 entities,  1 relations
  PMC5001719:     57 chars,  3 entities,  2 relations
  PMC5003337:    168 chars,  6 entities,  4 relations
  PMC5010180:     83 chars,  2 entities,  1 relations
  PMC5014325:     93 chars,  2 entities,  1 relations
  PMC5015864:     58 chars,  3 entities,  2 relations
  PMC5019395:     63 chars,  2 entities,  1 relations
  PMC5042480:     72 chars,  4 entities,  2 relations
  PMC5068799:     79 chars,  6 entities,  4 relations
  PMC5079648:    175 chars,  2 entities,  1 relations
  PMC5094601:    135 chars,  2 entities,  1 relations
  PMC5096670:    286 chars,  3 entities,  2 relations
  PMC5100887:    655 chars,  0 entities,  0 relations
  PMC5104437:    200 chars,  4 entities,  3 relations
  PMC5112978:    165 chars,  3 entities,  2 relations
  PMC5130179:    395 chars, 10 entities, 10 relations
  PMC5158195:    198 chars,  1 entities,  0 relations
  PMC5161328:     63 chars,  3 entities,  1 relations
  PMC5173381:    119 chars,  3 entities,  2 relations
  PMC5176262:    200 chars,  1 entities,  0 relations
  PMC5179078:     82 chars,  4 entities,  2 relations
  PMC5199054:     62 chars,  3 entities,  2 relations
  PMC5231401:    140 chars,  2 entities,  1 relations
  PMC5234805:     49 chars,  3 entities,  2 relations
  PMC5242464:     49 chars,  2 entities,  1 relations
  PMC5249115:    245 chars,  3 entities,  2 relations
  PMC5249117:    114 chars,  4 entities,  3 relations
  PMC5289551:    118 chars,  4 entities,  2 relations
  PMC5293190:    194 chars,  6 entities,  4 relations
  PMC5295691:    139 chars,  4 entities,  3 relations
  PMC5302808:    240 chars,  4 entities,  2 relations
  PMC5342221:     94 chars,  2 entities,  1 relations
  PMC5342319:     91 chars,  7 entities,  5 relations
  PMC5344449:    247 chars,  4 entities,  3 relations
  PMC5345811:    152 chars,  4 entities,  2 relations
  PMC5349444:    124 chars,  2 entities,  1 relations
  PMC5351992:    135 chars,  2 entities,  1 relations
  PMC5383275:    123 chars,  6 entities,  3 relations
  PMC5384787:     53 chars,  3 entities,  2 relations
  PMC5388322:    107 chars,  0 entities,  0 relations
  PMC5417513:     47 chars,  2 entities,  1 relations
  PMC5417526:    107 chars,  2 entities,  1 relations
  PMC5423609:     53 chars,  3 entities,  2 relations
  PMC5451014:    196 chars,  1 entities,  0 relations
  PMC5479529:     64 chars,  3 entities,  2 relations
  PMC5507544:    166 chars,  6 entities,  4 relations
  PMC5513414:     95 chars,  3 entities,  2 relations
  PMC5513423:    285 chars,  3 entities,  2 relations
  PMC5513437:    129 chars,  5 entities,  3 relations
  PMC5519063:     80 chars,  3 entities,  2 relations
  PMC5531467:    166 chars,  0 entities,  0 relations
  PMC5536272:     80 chars,  3 entities,  2 relations
  PMC5544237:    219 chars, 10 entities,  7 relations
  PMC5549972:     98 chars,  3 entities,  2 relations
  PMC5557550:    168 chars,  5 entities,  2 relations
  PMC5567909:    214 chars,  2 entities,  1 relations
  PMC5570331:    479 chars,  9 entities,  5 relations
  PMC5573293:     83 chars,  4 entities,  3 relations
  PMC5573299:    210 chars,  1 entities,  0 relations
  PMC5587279:     74 chars,  6 entities,  5 relations
  PMC5589082:    158 chars,  2 entities,  1 relations
  PMC5590823:    103 chars,  2 entities,  1 relations
  PMC5597219:    137 chars,  3 entities,  1 relations
  PMC5605050:     89 chars,  4 entities,  3 relations
  PMC5627900:    110 chars,  3 entities,  2 relations
  PMC5628872:    116 chars,  4 entities,  2 relations
  PMC5633173:    261 chars, 11 entities, 10 relations
  PMC5634534:    138 chars,  3 entities,  2 relations
  PMC5645143:     78 chars,  3 entities,  2 relations
  PMC5646767:    105 chars,  3 entities,  2 relations
  PMC5648132:     63 chars,  2 entities,  1 relations
  PMC5659773:     91 chars,  3 entities,  2 relations
  PMC5673183:     57 chars,  3 entities,  2 relations
  PMC5699833:    157 chars,  8 entities,  6 relations
  PMC5703533:    110 chars,  5 entities,  2 relations
  PMC5706714:    175 chars,  3 entities,  2 relations
  PMC5708632:    103 chars,  4 entities,  2 relations
  PMC5716553:     69 chars,  3 entities,  2 relations
  PMC5716576:     50 chars,  2 entities,  1 relations
  PMC5728572:     81 chars,  4 entities,  1 relations
  PMC5737892:    104 chars,  3 entities,  2 relations
  PMC5737897:    108 chars,  5 entities,  4 relations
  PMC5744945:    275 chars,  1 entities,  0 relations
  PMC5749676:    158 chars,  2 entities,  1 relations
  PMC5754055:     58 chars,  1 entities,  0 relations
  PMC5755789:    223 chars,  6 entities,  4 relations
  PMC5764283:     45 chars,  2 entities,  1 relations
  PMC5771583:     76 chars,  3 entities,  2 relations
  PMC5771614:     86 chars,  3 entities,  2 relations
  PMC5777644:     94 chars,  4 entities,  3 relations
  PMC5783388:    111 chars,  3 entities,  2 relations
  PMC5794112:     97 chars,  6 entities,  4 relations
  PMC5802858:    116 chars,  4 entities,  2 relations
  PMC5805321:     59 chars,  2 entities,  1 relations
  PMC5819792:    228 chars,  6 entities,  4 relations
  PMC5819802:     79 chars,  3 entities,  2 relations
  PMC5821381:    111 chars,  4 entities,  3 relations
  PMC5823369:     63 chars,  2 entities,  1 relations
  PMC5830041:     99 chars,  4 entities,  2 relations
  PMC5858786:     79 chars,  2 entities,  1 relations
  PMC5874058:     80 chars,  3 entities,  2 relations
  PMC5880390:     60 chars,  2 entities,  1 relations
  PMC5884536:    149 chars,  4 entities,  3 relations
  PMC5889058:     57 chars,  2 entities,  1 relations
  PMC5896907:    325 chars,  7 entities,  3 relations
  PMC5905884:    169 chars,  6 entities,  3 relations
  PMC5908075:     62 chars,  2 entities,  1 relations
  PMC5908080:    193 chars,  7 entities,  5 relations
  PMC5937783:    214 chars,  3 entities,  2 relations
  PMC5942853:    144 chars,  3 entities,  2 relations
  PMC5951581:    144 chars,  2 entities,  1 relations
  PMC5963770:    104 chars,  3 entities,  2 relations
  PMC5963780:    133 chars,  5 entities,  3 relations
  PMC5967727:     91 chars,  4 entities,  2 relations
  PMC5967744:    353 chars,  4 entities,  2 relations
  PMC5978990:     78 chars,  3 entities,  2 relations
  PMC6010219:    497 chars,  3 entities,  1 relations
  PMC6013160:    173 chars,  4 entities,  2 relations
  PMC6019675:     60 chars,  2 entities,  1 relations
  PMC6023202:    123 chars,  2 entities,  1 relations
  PMC6034783:    104 chars,  3 entities,  2 relations
  PMC6047798:    424 chars,  6 entities,  4 relations
  PMC6047802:     71 chars,  4 entities,  3 relations
  PMC6053250:     75 chars,  4 entities,  2 relations
  PMC6059491:     70 chars,  3 entities,  2 relations
  PMC6070195:    135 chars,  4 entities,  3 relations
  PMC6108469:    122 chars,  2 entities,  1 relations
  PMC6114920:    187 chars,  2 entities,  0 relations
  PMC6122816:    222 chars,  4 entities,  2 relations
  PMC6155505:     73 chars,  3 entities,  2 relations
  PMC6200248:     37 chars,  2 entities,  1 relations
  PMC6201949:    242 chars,  8 entities,  6 relations
  PMC6205589:     34 chars,  2 entities,  1 relations
  PMC6211744:     48 chars,  3 entities,  2 relations
  PMC6219793:    596 chars,  6 entities,  4 relations
  PMC6221271:    122 chars,  8 entities,  6 relations
  PMC6224102:    163 chars,  2 entities,  1 relations
  PMC6237348:     79 chars,  2 entities,  1 relations
  PMC6258120:    174 chars,  2 entities,  1 relations
  PMC6258523:    112 chars,  6 entities,  5 relations
  PMC6261591:    111 chars,  2 entities,  1 relations
  PMC6287834:     51 chars,  3 entities,  2 relations
  PMC6291235:     45 chars,  2 entities,  1 relations
  PMC6292577:    122 chars,  1 entities,  0 relations
  PMC6298679:    133 chars,  4 entities,  2 relations
  PMC6326457:     42 chars,  2 entities,  1 relations
  PMC6338375:    174 chars,  2 entities,  1 relations
  PMC6343917:     74 chars,  2 entities,  1 relations
  PMC6351025:    120 chars,  2 entities,  1 relations
  PMC6354979:    100 chars,  3 entities,  2 relations
  PMC6354989:     96 chars,  3 entities,  2 relations
================================================================================
devel/PLoS_sentences: 135 units
  PMC2560998:     55 chars,  2 entities,  1 relations
  PMC2645500:    144 chars,  1 entities,  0 relations
  PMC2656621:    339 chars,  3 entities,  1 relations
  PMC2924608:     88 chars,  4 entities,  3 relations
  PMC2958801:    159 chars,  1 entities,  0 relations
  PMC2972719:    246 chars,  3 entities,  2 relations
  PMC2989911:    103 chars,  2 entities,  1 relations
  PMC3001859:     80 chars,  4 entities,  2 relations
  PMC3032724:    102 chars,  1 entities,  0 relations
  PMC3151289:     89 chars,  4 entities,  2 relations
  PMC3212529:    127 chars,  5 entities,  3 relations
  PMC3325283:     73 chars,  5 entities,  4 relations
  PMC3402400:    150 chars,  3 entities,  2 relations
  PMC3411742:    107 chars,  3 entities,  2 relations
  PMC3482197:     54 chars,  2 entities,  1 relations
  PMC3541353:     77 chars,  3 entities,  2 relations
  PMC3542333:    198 chars,  8 entities,  6 relations
  PMC3544765:     99 chars,  3 entities,  2 relations
  PMC3544861:    104 chars,  3 entities,  2 relations
  PMC3577686:     65 chars,  3 entities,  2 relations
  PMC3585326:     80 chars,  2 entities,  1 relations
  PMC3596370:     40 chars,  1 entities,  0 relations
  PMC3602443:     92 chars,  3 entities,  2 relations
  PMC3641101:    106 chars,  2 entities,  1 relations
  PMC3656929:     48 chars,  3 entities,  1 relations
  PMC3669127:     79 chars,  3 entities,  1 relations
  PMC3694065:     76 chars,  2 entities,  1 relations
  PMC3722160:    319 chars,  2 entities,  1 relations
  PMC3724838:    152 chars,  3 entities,  2 relations
  PMC3729837:    215 chars,  2 entities,  1 relations
  PMC3776798:     97 chars,  3 entities,  2 relations
  PMC3828322:     64 chars,  2 entities,  1 relations
  PMC3832538:    381 chars,  3 entities,  0 relations
  PMC3843691:     80 chars,  2 entities,  1 relations
  PMC3922869:    114 chars,  4 entities,  2 relations
  PMC3942421:     54 chars,  2 entities,  1 relations
  PMC3943973:     74 chars,  2 entities,  1 relations
  PMC3958518:     97 chars,  3 entities,  2 relations
  PMC3961208:     56 chars,  2 entities,  1 relations
  PMC3981780:     72 chars,  2 entities,  1 relations
  PMC3989186:     59 chars,  3 entities,  2 relations
  PMC3991647:     90 chars,  1 entities,  0 relations
  PMC4023954:    128 chars,  1 entities,  0 relations
  PMC4028213:    195 chars,  3 entities,  2 relations
  PMC4071010:     77 chars,  0 entities,  0 relations
  PMC4113245:    321 chars,  4 entities,  2 relations
  PMC4117488:    128 chars,  5 entities,  3 relations
  PMC4152246:     76 chars,  2 entities,  1 relations
  PMC4157774:     61 chars,  2 entities,  1 relations
  PMC4182799:    308 chars,  3 entities,  2 relations
  PMC4211701:     61 chars,  2 entities,  1 relations
  PMC4240595:    548 chars,  3 entities,  2 relations
  PMC4245124:    212 chars,  2 entities,  1 relations
  PMC4296933:     85 chars,  3 entities,  2 relations
  PMC4383478:    169 chars,  2 entities,  1 relations
  PMC4398498:    131 chars,  3 entities,  2 relations
  PMC4401664:    224 chars,  1 entities,  0 relations
  PMC4414420:     67 chars,  2 entities,  1 relations
  PMC4427319:     91 chars,  1 entities,  0 relations
  PMC4444086:    449 chars,  6 entities,  3 relations
  PMC4452766:     69 chars,  3 entities,  2 relations
  PMC4472346:    235 chars,  1 entities,  0 relations
  PMC4512684:     69 chars,  3 entities,  2 relations
  PMC4514736:     95 chars,  4 entities,  3 relations
  PMC4526536:    110 chars,  3 entities,  1 relations
  PMC4567331:     95 chars,  3 entities,  2 relations
  PMC4580643:     51 chars,  3 entities,  2 relations
  PMC4633186:    118 chars,  4 entities,  3 relations
  PMC4667844:    103 chars,  4 entities,  3 relations
  PMC4667923:    102 chars,  3 entities,  2 relations
  PMC4726570:    110 chars,  3 entities,  2 relations
  PMC4726595:     49 chars,  2 entities,  1 relations
  PMC4744078:    134 chars,  2 entities,  1 relations
  PMC4762940:    143 chars,  4 entities,  2 relations
  PMC4765767:     62 chars,  3 entities,  2 relations
  PMC4784934:    220 chars,  7 entities,  4 relations
  PMC4798594:     69 chars,  1 entities,  0 relations
  PMC4803212:    103 chars,  5 entities,  3 relations
  PMC4868318:    108 chars,  3 entities,  2 relations
  PMC4880294:     91 chars,  1 entities,  0 relations
  PMC4913900:    156 chars,  3 entities,  1 relations
  PMC4917221:    224 chars,  3 entities,  2 relations
  PMC4938526:    169 chars,  2 entities,  1 relations
  PMC4965095:     30 chars,  2 entities,  1 relations
  PMC4970811:    113 chars,  5 entities,  3 relations
  PMC4990208:    119 chars,  2 entities,  0 relations
  PMC5112893:     88 chars,  3 entities,  2 relations
  PMC5145233:     53 chars,  2 entities,  1 relations
  PMC5147884:     96 chars,  2 entities,  1 relations
  PMC5207427:    135 chars,  5 entities,  3 relations
  PMC5266220:    424 chars,  3 entities,  1 relations
  PMC5268460:    139 chars,  0 entities,  0 relations
  PMC5279788:     68 chars,  1 entities,  0 relations
  PMC5302797:    139 chars,  4 entities,  2 relations
  PMC5325527:     73 chars,  3 entities,  2 relations
  PMC5325587:    194 chars,  3 entities,  2 relations
  PMC5338789:    151 chars,  3 entities,  1 relations
  PMC5388499:    174 chars,  3 entities,  2 relations
  PMC5391050:    131 chars,  7 entities,  5 relations
  PMC5407852:    155 chars,  2 entities,  1 relations
  PMC5462373:    203 chars,  4 entities,  1 relations
  PMC5526523:    128 chars,  3 entities,  2 relations
  PMC5528884:    102 chars,  3 entities,  2 relations
  PMC5568373:     59 chars,  3 entities,  2 relations
  PMC5604947:    303 chars,  2 entities,  1 relations
  PMC5638252:    330 chars,  7 entities,  3 relations
  PMC5681258:     67 chars,  2 entities,  1 relations
  PMC5718419:    132 chars,  3 entities,  2 relations
  PMC5739404:    106 chars,  4 entities,  2 relations
  PMC5747435:    349 chars,  7 entities,  4 relations
  PMC5757912:    171 chars,  4 entities,  3 relations
  PMC5771574:     89 chars,  2 entities,  1 relations
  PMC5802430:    361 chars,  9 entities,  6 relations
  PMC5805334:     70 chars,  2 entities,  1 relations
  PMC5826529:    231 chars,  5 entities,  3 relations
  PMC5832313:    400 chars,  5 entities,  3 relations
  PMC5875891:    115 chars,  4 entities,  3 relations
  PMC5884542:     48 chars,  2 entities,  1 relations
  PMC5889056:     90 chars,  4 entities,  3 relations
  PMC5905883:    122 chars,  3 entities,  0 relations
  PMC5912798:     86 chars,  1 entities,  0 relations
  PMC5922558:    413 chars,  3 entities,  2 relations
  PMC5931653:     56 chars,  2 entities,  1 relations
  PMC5937997:    104 chars,  3 entities,  1 relations
  PMC5979022:     52 chars,  3 entities,  2 relations
  PMC6023132:     76 chars,  3 entities,  2 relations
  PMC6028088:    114 chars,  3 entities,  2 relations
  PMC6042753:    113 chars,  6 entities,  4 relations
  PMC6084961:    184 chars,  3 entities,  2 relations
  PMC6124705:    208 chars,  2 entities,  1 relations
  PMC6124718:    137 chars,  3 entities,  2 relations
  PMC6141062:     59 chars,  4 entities,  2 relations
  PMC6226182:     91 chars,  3 entities,  2 relations
  PMC6267992:    200 chars,  1 entities,  0 relations
  PMC6322718:     97 chars,  5 entities,  3 relations
================================================================================
test/PLoS_sentences: 135 units
  PMC2100169:    192 chars,  2 entities,  1 relations
  PMC2295259:    142 chars,  2 entities,  1 relations
  PMC2682645:    192 chars,  1 entities,  0 relations
  PMC2702002:     65 chars,  2 entities,  1 relations
  PMC3002948:    147 chars,  6 entities,  4 relations
  PMC3044740:     77 chars,  2 entities,  1 relations
  PMC3068144:    234 chars,  3 entities,  2 relations
  PMC3108597:     79 chars,  2 entities,  1 relations
  PMC3111458:    132 chars,  2 entities,  1 relations
  PMC3167835:     94 chars,  2 entities,  1 relations
  PMC3254635:     54 chars,  2 entities,  1 relations
  PMC3290558:     61 chars,  2 entities,  1 relations
  PMC3302875:     57 chars,  1 entities,  0 relations
  PMC3356250:     79 chars,  2 entities,  1 relations
  PMC3368909:    179 chars,  6 entities,  4 relations
  PMC3394736:     97 chars,  3 entities,  2 relations
  PMC3464298:    211 chars,  5 entities,  3 relations
  PMC3492364:    139 chars,  1 entities,  0 relations
  PMC3530595:     97 chars,  3 entities,  2 relations
  PMC3558482:     82 chars,  3 entities,  2 relations
  PMC3585793:    171 chars,  8 entities,  6 relations
  PMC3591454:    173 chars,  4 entities,  3 relations
  PMC3592839:     94 chars,  5 entities,  3 relations
  PMC3666983:    141 chars,  2 entities,  1 relations
  PMC3679146:    113 chars,  5 entities,  3 relations
  PMC3700867:    157 chars,  6 entities,  4 relations
  PMC3724832:    286 chars,  8 entities,  6 relations
  PMC3749220:    179 chars,  2 entities,  1 relations
  PMC3756026:     92 chars,  5 entities,  3 relations
  PMC3758314:    102 chars,  4 entities,  3 relations
  PMC3828343:     47 chars,  2 entities,  1 relations
  PMC3835884:    160 chars,  4 entities,  2 relations
  PMC3841130:     84 chars,  3 entities,  2 relations
  PMC3862878:    159 chars,  1 entities,  0 relations
  PMC3879246:     61 chars,  2 entities,  1 relations
  PMC3900491:    130 chars,  3 entities,  2 relations
  PMC3909117:     52 chars,  2 entities,  1 relations
  PMC3948370:     33 chars,  2 entities,  1 relations
  PMC3951273:    124 chars,  2 entities,  1 relations
  PMC3974764:     68 chars,  1 entities,  0 relations
  PMC4019508:    213 chars,  3 entities,  2 relations
  PMC4076331:    143 chars,  4 entities,  3 relations
  PMC4116333:     49 chars,  3 entities,  2 relations
  PMC4139320:    130 chars,  5 entities,  3 relations
  PMC4143167:    143 chars,  3 entities,  2 relations
  PMC4143241:     75 chars,  1 entities,  0 relations
  PMC4168004:     52 chars,  3 entities,  2 relations
  PMC4182710:    124 chars,  7 entities,  5 relations
  PMC4220931:    313 chars,  1 entities,  0 relations
  PMC4335060:     41 chars,  2 entities,  1 relations
  PMC4390221:    181 chars,  3 entities,  2 relations
  PMC4405359:    107 chars,  3 entities,  2 relations
  PMC4414468:    145 chars,  2 entities,  1 relations
  PMC4418829:    296 chars,  1 entities,  0 relations
  PMC4451079:    106 chars,  3 entities,  2 relations
  PMC4479570:    100 chars,  3 entities,  2 relations
  PMC4496054:     64 chars,  4 entities,  2 relations
  PMC4501692:     86 chars,  3 entities,  2 relations
  PMC4505905:    144 chars,  1 entities,  0 relations
  PMC4535859:    138 chars,  2 entities,  1 relations
  PMC4558093:     68 chars,  3 entities,  2 relations
  PMC4589358:     68 chars,  3 entities,  2 relations
  PMC4664486:     69 chars,  2 entities,  1 relations
  PMC4674110:    134 chars,  2 entities,  1 relations
  PMC4683049:     75 chars,  2 entities,  1 relations
  PMC4764204:     59 chars,  3 entities,  2 relations
  PMC4820124:     92 chars,  3 entities,  2 relations
  PMC4835073:     44 chars,  2 entities,  1 relations
  PMC4871582:    157 chars,  0 entities,  0 relations
  PMC4889034:    128 chars,  6 entities,  4 relations
  PMC4892543:    174 chars,  3 entities,  2 relations
  PMC4898773:     32 chars,  2 entities,  1 relations
  PMC4900599:    149 chars,  4 entities,  3 relations
  PMC4911165:     48 chars,  2 entities,  1 relations
  PMC4945061:    238 chars,  3 entities,  2 relations
  PMC4985145:     84 chars,  1 entities,  0 relations
  PMC5065133:    262 chars,  3 entities,  2 relations
  PMC5115662:    140 chars,  5 entities,  3 relations
  PMC5130232:     57 chars,  2 entities,  1 relations
  PMC5148026:    134 chars,  1 entities,  0 relations
  PMC5152899:     67 chars,  3 entities,  2 relations
  PMC5158042:     83 chars,  3 entities,  2 relations
