================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  23455314: 1616 chars,  24 entity mentions,  3 relations
  23556446: 1522 chars,  23 entity mentions,  0 relations
  23256442: 1460 chars,  25 entity mentions,  0 relations
  17325667: 1516 chars,  40 entity mentions, 15 relations
   9466983: 2595 chars,  31 entity mentions,  0 relations
  23239825: 1133 chars,   7 entity mentions,  0 relations
  19568704: 1982 chars,  29 entity mentions,  3 relations
  23535516: 2407 chars,  63 entity mentions,  6 relations
  12392782: 2168 chars,  31 entity mentions,  8 relations
  23639362: 1964 chars,  27 entity mentions,  5 relations
  16291771: 2192 chars,  47 entity mentions,  0 relations
  23386390: 1796 chars,  26 entity mentions,  5 relations
  23194826: 1161 chars,  12 entity mentions,  4 relations
  19482847: 2014 chars,  14 entity mentions,  0 relations
  16766717: 1679 chars,  19 entity mentions,  2 relations
  23300287: 2006 chars,  22 entity mentions,  0 relations
  23201337: 1607 chars,  24 entity mentions,  0 relations
  17034586: 1788 chars,  22 entity mentions,  0 relations
  18686730: 1485 chars,  16 entity mentions,  0 relations
  23247008: 1840 chars,  32 entity mentions,  4 relations
  23368901: 1970 chars,  20 entity mentions,  0 relations
  23633521: 1317 chars,  27 entity mentions,  0 relations
   2083404: 1674 chars,  30 entity mentions,  9 relations
  11986668: 1329 chars,  21 entity mentions,  3 relations
  23380082: 1820 chars,   8 entity mentions,  0 relations
   7974294: 2029 chars,  25 entity mentions,  0 relations
  23578952: 1504 chars,  23 entity mentions,  1 relations
  23643933: 1779 chars,  19 entity mentions,  6 relations
  23347038: 1587 chars,  22 entity mentions,  7 relations
  10730683: 1299 chars,  14 entity mentions,  3 relations
  23637347: 1759 chars,  13 entity mentions,  0 relations
   1663395: 1717 chars,  28 entity mentions,  5 relations
  23569204: 1021 chars,  21 entity mentions,  2 relations
  23506741: 1618 chars,  27 entity mentions, 16 relations
  17611273: 1927 chars,  27 entity mentions,  9 relations
================================================================================
validation: 612 units
  10064839: 2336 chars,  56 entity mentions, 10 relations
  10082498: 1682 chars,  34 entity mentions,  5 relations
  10193663: 1732 chars,  35 entity mentions, 29 relations
  10193665:  902 chars,  30 entity mentions, 12 relations
  10226872: 2511 chars,  31 entity mentions,  4 relations
  10362188: 1969 chars,  25 entity mentions,  6 relations
  10373224: 2093 chars,  35 entity mentions, 12 relations
  10381787: 1797 chars,  22 entity mentions, 10 relations
  10432475: 2124 chars,  62 entity mentions,  9 relations
  10439935: 2075 chars,  28 entity mentions,  2 relations
  10460702: 1698 chars,  44 entity mentions, 19 relations
  10531013: 1316 chars,  14 entity mentions,  8 relations
  10546982: 1566 chars,  20 entity mentions,  6 relations
  10575283: 2359 chars,  18 entity mentions,  0 relations
  10579749: 1788 chars,  45 entity mentions, 27 relations
  10637238: 2051 chars,  18 entity mentions,  0 relations
  10683249: 1527 chars,  36 entity mentions,  6 relations
  10688973: 2065 chars,  41 entity mentions, 16 relations
  10697523:  993 chars,  24 entity mentions,  7 relations
  10698696: 1634 chars,  30 entity mentions,  6 relations
  10742288: 1492 chars,  25 entity mentions,  9 relations
  10796070: 1849 chars,  19 entity mentions,  3 relations
  10800083: 2126 chars,  34 entity mentions,  0 relations
  10839333: 1978 chars,  21 entity mentions,  4 relations
  10866053: 2249 chars,  33 entity mentions,  1 relations
  10887187: 1265 chars,  28 entity mentions,  5 relations
  10917903: 1809 chars,  32 entity mentions,  2 relations
  10931813: 1941 chars,  25 entity mentions,  6 relations
  10933891: 1827 chars,  32 entity mentions, 15 relations
  10939639: 1177 chars,  20 entity mentions,  4 relations
  10942908: 2210 chars,  22 entity mentions,  6 relations
  11056242: 1621 chars,  16 entity mentions,  5 relations
  11146120: 1658 chars,  35 entity mentions, 12 relations
  11157886: 1897 chars,  21 entity mentions,  6 relations
  11243491: 2288 chars,  37 entity mentions,  2 relations
  11246504: 1120 chars,  17 entity mentions,  0 relations
  11252887:  528 chars,  14 entity mentions,  9 relations
  11304699: 1777 chars,  18 entity mentions,  2 relations
  11309392: 2352 chars,  31 entity mentions,  5 relations
  11318430:  759 chars,  10 entity mentions,  4 relations
  11392054: 2083 chars,  39 entity mentions,  2 relations
  11393267: 1557 chars,  19 entity mentions,  4 relations
  11481271: 2205 chars,  39 entity mentions, 18 relations
  11742712:  968 chars,  16 entity mentions,  6 relations
  11752472: 1701 chars,  38 entity mentions,  1 relations
  11772142: 2782 chars,  33 entity mentions,  2 relations
  11799102: 2426 chars,  48 entity mentions, 17 relations
  11808879: 2627 chars,  14 entity mentions,  2 relations
  11893059:  784 chars,   8 entity mentions,  3 relations
  11970990: 1810 chars,  33 entity mentions,  2 relations
  12046682:  936 chars,   4 entity mentions,  1 relations
  12063741: 1017 chars,  11 entity mentions,  2 relations
  12080538: 1472 chars,  25 entity mentions,  2 relations
  12082550: 2136 chars,  29 entity mentions,  3 relations
  12137927: 1114 chars,  31 entity mentions,  4 relations
  12170059: 1978 chars,  37 entity mentions,  2 relations
  12180353: 1451 chars,  22 entity mentions,  2 relations
  12181427: 1810 chars,  32 entity mentions, 27 relations
  12217700: 2474 chars,  38 entity mentions,  9 relations
  12383039: 1929 chars,   8 entity mentions,  2 relations
  12409268: 1811 chars,  30 entity mentions,  6 relations
  12445705: 2017 chars,  64 entity mentions, 13 relations
  12545144: 1959 chars,  17 entity mentions,  3 relations
  12588370: 1835 chars,  21 entity mentions,  2 relations
  12623106: 1611 chars,  23 entity mentions,  4 relations
  12657913: 1884 chars,  31 entity mentions, 10 relations
  12679340: 1427 chars,  34 entity mentions, 16 relations
  12692940: 1259 chars,  15 entity mentions,  3 relations
  12699389: 1283 chars,  17 entity mentions,  0 relations
  12783542: 1499 chars,  31 entity mentions,  2 relations
   1280065: 1844 chars,  49 entity mentions, 11 relations
  12818701: 2050 chars,  33 entity mentions, 11 relations
  12824918: 1425 chars,  12 entity mentions,  1 relations
  12827214: 2348 chars,  46 entity mentions,  5 relations
  12837768: 1481 chars,  27 entity mentions,  6 relations
   1284246: 1289 chars,  29 entity mentions, 24 relations
  12844134: 2090 chars,  17 entity mentions,  3 relations
  12901032: 1474 chars,  25 entity mentions,  8 relations
  12927226: 1736 chars,  24 entity mentions,  4 relations
   1318989: 1877 chars,  29 entity mentions,  5 relations
   1322429: 2081 chars,  39 entity mentions, 19 relations
   1326878:  703 chars,   7 entity mentions,  0 relations
   1329582: 1585 chars,  18 entity mentions,  1 relations
   1351412: 2127 chars,  22 entity mentions,  0 relations
   1359745: 2055 chars,  31 entity mentions,  7 relations
  14506245: 2287 chars,  55 entity mentions,  0 relations
  14564902: 1594 chars,   8 entity mentions,  0 relations
  14583450: 2771 chars,  54 entity mentions,  6 relations
  14588118: 2030 chars,  17 entity mentions,  4 relations
  14602594: 1573 chars,  18 entity mentions,  0 relations
  14619588: 1325 chars,  19 entity mentions,  4 relations
  14659797: 1391 chars,  14 entity mentions,  0 relations
  14722255: 1863 chars,  26 entity mentions,  0 relations
  14757145: 1335 chars,  21 entity mentions,  5 relations
  14757700: 2003 chars,  63 entity mentions, 20 relations
  15049511: 1261 chars,  26 entity mentions, 10 relations
  15058382:  920 chars,  17 entity mentions,  0 relations
  15075397: 1502 chars,  17 entity mentions,  0 relations
  15109613:  949 chars,  12 entity mentions,  1 relations
  15180525: 2026 chars,  53 entity mentions, 42 relations
  15192023: 1620 chars,  39 entity mentions, 21 relations
  15198222: 1892 chars,  32 entity mentions, 21 relations
   1526623: 1780 chars,  43 entity mentions,  0 relations
  15291969: 2173 chars,  43 entity mentions,  1 relations
  15292070: 1807 chars,   2 entity mentions,  1 relations
  15299009: 1063 chars,  12 entity mentions,  1 relations
  15325927: 1809 chars,  14 entity mentions,  3 relations
  15367040:  417 chars,   6 entity mentions,  3 relations
   1543672: 1382 chars,  25 entity mentions,  5 relations
  15446566: 1558 chars,  26 entity mentions,  5 relations
  15474503: 1378 chars,  41 entity mentions, 19 relations
  15557593: 2301 chars,  19 entity mentions,  7 relations
  15563928: 1574 chars,  26 entity mentions,  3 relations
  15612980: 1740 chars,  36 entity mentions, 18 relations
  15629255: 1476 chars,  24 entity mentions,  7 relations
  15646028: 1988 chars,  24 entity mentions,  3 relations
  15665864: 1710 chars,  23 entity mentions,  8 relations
  15671155: 2083 chars,  37 entity mentions, 15 relations
  15694653: 1003 chars,  12 entity mentions,  0 relations
  15700891: 1952 chars,   6 entity mentions,  0 relations
  15737409: 1395 chars,  37 entity mentions, 11 relations
  15787205:  503 chars,  13 entity mentions,  6 relations
  15811959: 1546 chars,  23 entity mentions,  7 relations
  15837926: 1193 chars,  24 entity mentions, 12 relations
  15840827: 1750 chars,  27 entity mentions,  2 relations
  15854045: 1218 chars,  24 entity mentions,  0 relations
  15937104: 1078 chars,  27 entity mentions,  0 relations
  15992586: 1579 chars,  39 entity mentions,  0 relations
   1600046: 1646 chars,  27 entity mentions, 20 relations
  16018973:  767 chars,  16 entity mentions, 10 relations
   1612232: 1757 chars,   4 entity mentions,  0 relations
  16232421: 1790 chars,  38 entity mentions, 13 relations
  16262557:  456 chars,   9 entity mentions,  6 relations
  16268464: 1783 chars,  39 entity mentions,  0 relations
  16292755: 1535 chars,  39 entity mentions, 15 relations
  16298345: 1612 chars,  23 entity mentions, 12 relations
  16316409: 2803 chars,  44 entity mentions,  7 relations
  16322797: 1453 chars,  32 entity mentions,  7 relations
  16325050: 1593 chars,  29 entity mentions,  8 relations
  16344985: 1924 chars,  36 entity mentions, 10 relations
  16359899: 1722 chars,  14 entity mentions,  4 relations
  16371234: 2227 chars,  49 entity mentions,  7 relations
  16425993: 1520 chars,  29 entity mentions, 14 relations
  16449956: 1770 chars,  17 entity mentions,  0 relations
  16488503: 1701 chars,  26 entity mentions,  0 relations
  16596248: 1862 chars,  13 entity mentions,  6 relations
  16597468: 1296 chars,  19 entity mentions,  0 relations
  16597625: 1696 chars,  20 entity mentions,  0 relations
  16642960: 1061 chars,  13 entity mentions,  0 relations
   1665782: 1704 chars,  27 entity mentions,  9 relations
   1666997: 1883 chars,  29 entity mentions, 13 relations
  16675639: 1726 chars,  42 entity mentions, 11 relations
  16719540: 2560 chars,  24 entity mentions,  0 relations
  16741658: 1785 chars,  34 entity mentions,  0 relations
  16741870: 1779 chars,  28 entity mentions,  0 relations
  16763553: 1320 chars,  31 entity mentions, 12 relations
  16769115: 1328 chars,  12 entity mentions,  1 relations
  16775509: 1832 chars,  14 entity mentions,  2 relations
  16782282: 1672 chars,  36 entity mentions,  4 relations
  16782438: 2021 chars,  27 entity mentions,  6 relations
  16784786: 1928 chars,  50 entity mentions,  1 relations
  16819260: 1118 chars,  20 entity mentions, 16 relations
  16828882: 1395 chars,  30 entity mentions,  5 relations
  16829128:  930 chars,  18 entity mentions, 13 relations
  16854582: 1810 chars,  34 entity mentions,  0 relations
  16855093: 1899 chars,  28 entity mentions,  9 relations
   1687367: 2245 chars,  27 entity mentions,  4 relations
  16874462: 1189 chars,  26 entity mentions, 10 relations
  16893531: 1862 chars,  33 entity mentions,  3 relations
  16917142: 2000 chars,  33 entity mentions,  7 relations
  16926278: 1974 chars,  61 entity mentions, 39 relations
  16938288: 1894 chars,  38 entity mentions, 19 relations
  16957773: 1351 chars,  23 entity mentions,  3 relations
  16971132: 1385 chars,  12 entity mentions,  4 relations
  16973729: 1832 chars,  27 entity mentions,  4 relations
  16985933: 1159 chars,  12 entity mentions,  0 relations
  16988497: 1465 chars,  36 entity mentions, 18 relations
  17013809:  973 chars,  15 entity mentions,  2 relations
  17023173: 1658 chars,   9 entity mentions,  1 relations
  17053736: 2885 chars,  15 entity mentions,  0 relations
  17065601: 1824 chars,  31 entity mentions,  1 relations
  17090056: 1913 chars,  33 entity mentions,  2 relations
  17098734: 1268 chars,  24 entity mentions,  3 relations
  17100196:  762 chars,   4 entity mentions,  0 relations
  17110146: 1764 chars,  46 entity mentions,  8 relations
  17125913: 1323 chars,  43 entity mentions, 19 relations
  17202804: 2473 chars,  69 entity mentions, 23 relations
  17218486: 1736 chars,  54 entity mentions, 33 relations
  17221210: 2497 chars,  27 entity mentions,  2 relations
  17228881: 1947 chars,  40 entity mentions, 19 relations
  17229090: 1764 chars,  48 entity mentions,  2 relations
  17234158: 1155 chars,  25 entity mentions, 18 relations
  17256745: 1884 chars,  42 entity mentions,  8 relations
  17290783:  807 chars,  16 entity mentions,  2 relations
  17303537: 1288 chars,  10 entity mentions,  0 relations
   1730582: 2200 chars,  44 entity mentions, 19 relations
  17311416: 1968 chars,  46 entity mentions, 48 relations
  17315258: 1942 chars,  42 entity mentions,  0 relations
  17319904: 2033 chars,  28 entity mentions,  7 relations
  17320868: 1704 chars,  36 entity mentions,  7 relations
  17324065: 1442 chars,  20 entity mentions,  9 relations
  17327402: 1296 chars,  20 entity mentions,  6 relations
  17333241: 1918 chars,  25 entity mentions,  2 relations
  17334413: 2408 chars,  63 entity mentions, 11 relations
  17344208: 1799 chars,  33 entity mentions, 12 relations
  17347380: 1646 chars,  35 entity mentions,  0 relations
  17352685: 1874 chars,  22 entity mentions,  5 relations
  17354225: 1762 chars,  29 entity mentions,  0 relations
  17367165: 2567 chars,  37 entity mentions,  9 relations
  17379925: 1364 chars,  26 entity mentions,  6 relations
  17380207: 1523 chars,  19 entity mentions,  3 relations
  17403555: 1723 chars,  62 entity mentions,  8 relations
  17409318: 1467 chars,  30 entity mentions, 16 relations
  17413769: 1490 chars,  30 entity mentions,  0 relations
  17468175: 1770 chars,  27 entity mentions, 10 relations
  17475961: 2031 chars,  19 entity mentions,  0 relations
  17496727: 1993 chars,  27 entity mentions,  4 relations
  17498496: 2366 chars,  43 entity mentions,  0 relations
  17512091: 2275 chars,  40 entity mentions, 12 relations
  17550897: 1650 chars,  43 entity mentions,  0 relations
  17554001: 1664 chars,  33 entity mentions, 13 relations
  17578749: 1334 chars,  17 entity mentions,  0 relations
  17581967: 1319 chars,  27 entity mentions, 13 relations
  17590520: 1099 chars,   8 entity mentions,  0 relations
  17594192: 1406 chars,  29 entity mentions, 15 relations
  17603545: 1902 chars,  18 entity mentions,  0 relations
  17603555: 2091 chars,  61 entity mentions, 26 relations
  17604186: 1732 chars,  30 entity mentions,  8 relations
  17617661: 1668 chars,  20 entity mentions,  2 relations
  17627474: 1524 chars,  32 entity mentions,  3 relations
  17632548: 2177 chars,  50 entity mentions,  8 relations
  17704420: 2110 chars,  33 entity mentions,  0 relations
  17768678: 1661 chars,  44 entity mentions, 13 relations
  17869551: 1402 chars,  37 entity mentions, 10 relations
  17916059: 1706 chars,  16 entity mentions,  3 relations
  17980251: 2002 chars,  30 entity mentions,  4 relations
  18045203:  995 chars,  15 entity mentions,  3 relations
  18450949: 1389 chars,  20 entity mentions,  8 relations
  18466433: 1743 chars,   3 entity mentions,  0 relations
  18480678: 2004 chars,  32 entity mentions,  7 relations
  18593822: 2006 chars,  64 entity mentions,  3 relations
  18593927: 1737 chars,  15 entity mentions,  1 relations
  18604229: 2147 chars,  29 entity mentions,  8 relations
  18620538:  820 chars,  14 entity mentions,  6 relations
  18655903: 2402 chars,  80 entity mentions, 21 relations
   1868500: 1540 chars,  29 entity mentions, 21 relations
  18803986: 3431 chars,  53 entity mentions, 15 relations
   1881457:  967 chars,  28 entity mentions,  6 relations
  18973551: 2132 chars,  38 entity mentions,  7 relations
  18974361: 1574 chars,  28 entity mentions,  4 relations
  19002123: 3151 chars,  24 entity mentions,  0 relations
  19023039: 1908 chars,  40 entity mentions, 18 relations
  19057128: 1614 chars,  29 entity mentions, 13 relations
  19119014: 1819 chars,  37 entity mentions, 21 relations
  19281809: 1922 chars,  38 entity mentions,  9 relations
  19293728: 2015 chars,  37 entity mentions,  8 relations
  19399743: 1233 chars,   4 entity mentions,  0 relations
  19472276: 1411 chars,  14 entity mentions,  1 relations
  19496999: 2030 chars,  32 entity mentions,  0 relations
  19651196: 1661 chars,  30 entity mentions, 11 relations
  19837759: 1747 chars,  22 entity mentions,  6 relations
  19852528: 2044 chars,  25 entity mentions,  3 relations
  19888521: 1907 chars,   6 entity mentions,  0 relations
  20053189: 1438 chars,  30 entity mentions, 21 relations
  20151846: 1537 chars,  15 entity mentions,  1 relations
  20496522:  832 chars,   7 entity mentions,  1 relations
  21207059:  964 chars,  11 entity mentions,  0 relations
   2125244:  802 chars,  17 entity mentions, 11 relations
  21606412: 1968 chars,  21 entity mentions, 13 relations
  22258629: 1716 chars,  10 entity mentions,  0 relations
  22287617: 1790 chars,  26 entity mentions,  0 relations
  22370636: 1020 chars,  19 entity mentions,  4 relations
  22447684: 1633 chars,  21 entity mentions, 11 relations
  22469981: 1661 chars,  16 entity mentions,  0 relations
  22578098: 1662 chars,  24 entity mentions,  4 relations
  22614014: 1041 chars,  13 entity mentions,  0 relations
  22677475: 1089 chars,   7 entity mentions,  0 relations
   2268554: 1186 chars,  28 entity mentions, 22 relations
  22709946: 1897 chars,  15 entity mentions,  1 relations
  22722028: 2065 chars,  18 entity mentions,  7 relations
  22749926: 2001 chars,  11 entity mentions,  2 relations
  22798247: 1054 chars,  15 entity mentions,  0 relations
  22889582: 1195 chars,   4 entity mentions,  0 relations
  22893351: 1801 chars,  17 entity mentions,  6 relations
  22923473: 1276 chars,  13 entity mentions,  0 relations
  22943130: 1612 chars,  12 entity mentions,  0 relations
  22956632: 1792 chars,  25 entity mentions,  9 relations
  22966070: 1673 chars,  48 entity mentions,  3 relations
  22982218: 1274 chars,  23 entity mentions,  9 relations
  22989703: 1551 chars,  25 entity mentions,  2 relations
  23000451: 1507 chars,  17 entity mentions,  4 relations
  23000507: 1996 chars,  18 entity mentions,  0 relations
  23002036: 1771 chars,  66 entity mentions,  0 relations
  23008503: 1811 chars,  30 entity mentions,  5 relations
  23019137: 1773 chars,  38 entity mentions,  5 relations
  23042952: 1930 chars,  47 entity mentions, 10 relations
  23042953: 1833 chars,  16 entity mentions,  5 relations
  23042954: 1938 chars,  18 entity mentions,  8 relations
  23044709: 1645 chars,  28 entity mentions,  0 relations
  23047022: 1892 chars,  37 entity mentions, 15 relations
  23047828: 1788 chars,  27 entity mentions,  0 relations
  23047912: 1774 chars,  21 entity mentions,  5 relations
  23050902: 1733 chars,  47 entity mentions, 22 relations
  23052195: 1380 chars,  45 entity mentions,  2 relations
  23066089: 1885 chars,  51 entity mentions, 18 relations
  23073075: 1483 chars,  30 entity mentions,  7 relations
  23075005: 1379 chars,  19 entity mentions,  6 relations
  23085436: 1892 chars,  24 entity mentions,  0 relations
  23091188: 1865 chars,  54 entity mentions,  8 relations
  23099431: 1616 chars,  11 entity mentions,  1 relations
  23102509: 1777 chars,  34 entity mentions,  2 relations
  23103563: 1564 chars,  25 entity mentions, 10 relations
  23117151: 1057 chars,  33 entity mentions,  8 relations
  23122072:  896 chars,   4 entity mentions,  0 relations
  23123257: 1605 chars,   6 entity mentions,  1 relations
  23123298: 1274 chars,  23 entity mentions,  7 relations
  23123662: 1829 chars,  43 entity mentions, 16 relations
  23128353: 1573 chars,  23 entity mentions, 11 relations
  23131177: 1867 chars,  28 entity mentions,  6 relations
  23142699: 1062 chars,  21 entity mentions,  4 relations
  23143891: 1868 chars,  26 entity mentions, 10 relations
  23159329: 1688 chars,  25 entity mentions,  6 relations
  23159479: 1305 chars,  12 entity mentions,  0 relations
  23161868: 2007 chars,  21 entity mentions,  5 relations
  23164615: 1220 chars,  15 entity mentions,  3 relations
  23178182: 1983 chars,  40 entity mentions,  3 relations
  23181488: 1670 chars,   6 entity mentions,  0 relations
  23182766: 1797 chars,  21 entity mentions,  6 relations
  23187687: 1269 chars,   4 entity mentions,  0 relations
  23192339: 1926 chars,  35 entity mentions,  1 relations
  23194076: 1349 chars,  25 entity mentions,  4 relations
  23194511: 1219 chars,  16 entity mentions,  0 relations
  23194548: 1232 chars,  11 entity mentions,  0 relations
  23198819: 1257 chars,   6 entity mentions,  0 relations
  23200732: 1832 chars,  25 entity mentions,  0 relations
  23201003: 1498 chars,  28 entity mentions,  7 relations
  23202250: 1792 chars,   7 entity mentions,  0 relations
  23205763: 1077 chars,   6 entity mentions,  0 relations
  23208787:  509 chars,   2 entity mentions,  0 relations
  23210662: 1159 chars,  15 entity mentions,  0 relations
  23212306: 1945 chars,  24 entity mentions,  1 relations
  23215039: 1157 chars,  11 entity mentions,  0 relations
  23218950: 1739 chars,  25 entity mentions,  0 relations
  23220614: 1803 chars,  49 entity mentions, 23 relations
  23220618: 1531 chars,  36 entity mentions, 14 relations
  23220644: 1039 chars,  18 entity mentions, 10 relations
  23220749: 1579 chars,  28 entity mentions, 14 relations
  23221600: 1650 chars,  35 entity mentions,  6 relations
  23223177: 1651 chars,  35 entity mentions, 11 relations
  23228696: 1922 chars,  41 entity mentions, 20 relations
  23228697: 1719 chars,  35 entity mentions, 11 relations
  23229509: 1170 chars,  26 entity mentions,  4 relations
  23229510: 2029 chars,  28 entity mentions, 10 relations
  23231492: 1987 chars,  14 entity mentions,  2 relations
  23233034: 1462 chars,   7 entity mentions,  0 relations
  23234313: 1110 chars,   9 entity mentions,  0 relations
  23240892: 1647 chars,  22 entity mentions,  3 relations
  23246481: 1242 chars,  25 entity mentions, 18 relations
  23253441:  547 chars,   6 entity mentions,  3 relations
  23254198: 1824 chars,  27 entity mentions,  6 relations
  23257735: 1041 chars,  13 entity mentions,  0 relations
  23261524: 1737 chars,  23 entity mentions,  4 relations
  23261589: 2116 chars,  32 entity mentions, 10 relations
  23261591:  893 chars,   4 entity mentions,  0 relations
  23261676: 1766 chars,  34 entity mentions,  8 relations
  23261757: 1868 chars,  14 entity mentions,  4 relations
  23265459: 1117 chars,  25 entity mentions,  0 relations
  23265505: 1251 chars,   6 entity mentions,  0 relations
  23265539: 1625 chars,  13 entity mentions,  0 relations
  23265905:  609 chars,   9 entity mentions,  1 relations
  23266270: 1326 chars,  36 entity mentions, 17 relations
  23266271: 1216 chars,  12 entity mentions,  0 relations
  23267011: 1572 chars,  32 entity mentions, 13 relations
  23267840: 1403 chars,  28 entity mentions,  1 relations
  23274086: 1181 chars,  15 entity mentions,  0 relations
  23281812: 1459 chars,  21 entity mentions,  2 relations
  23282066: 1550 chars,  16 entity mentions,  2 relations
  23292249: 1907 chars,  56 entity mentions,  0 relations
  23294326: 1293 chars,  18 entity mentions,  2 relations
  23295740: 1788 chars,  31 entity mentions, 11 relations
  23296100: 2220 chars,  25 entity mentions,  0 relations
  23297412: 1285 chars,  27 entity mentions,  8 relations
  23298577: 1671 chars,  24 entity mentions,  0 relations
  23299080:  849 chars,  22 entity mentions,  0 relations
  23305921: 1120 chars,  28 entity mentions,  6 relations
  23307549: 2284 chars,  14 entity mentions,  2 relations
  23312278:  400 chars,   4 entity mentions,  2 relations
  23318731: 1446 chars,  26 entity mentions,  2 relations
  23318833: 2057 chars,  30 entity mentions,  5 relations
  23319419: 1764 chars,  41 entity mentions, 21 relations
  23319591: 1259 chars,  19 entity mentions,  1 relations
  23321689: 1706 chars,  24 entity mentions,  2 relations
  23322164: 1965 chars,  47 entity mentions,  6 relations
  23324400: 1952 chars,  10 entity mentions,  0 relations
  23327668:  765 chars,   9 entity mentions,  0 relations
  23327794: 1142 chars,  15 entity mentions,  1 relations
  23331067: 1838 chars,  22 entity mentions,  1 relations
  23332762: 1155 chars,  33 entity mentions,  3 relations
  23334403: 2007 chars,  27 entity mentions,  4 relations
  23339682: 1579 chars,  14 entity mentions,  5 relations
  23341458: 1820 chars,  50 entity mentions,  9 relations
  23348754: 1475 chars,  24 entity mentions,  4 relations
  23349488: 1445 chars,  22 entity mentions,  0 relations
  23349489: 1296 chars,   7 entity mentions,  0 relations
  23353901: 2178 chars,  49 entity mentions, 13 relations
  23361846: 1281 chars,  33 entity mentions, 14 relations
  23363083: 1362 chars,   5 entity mentions,  0 relations
  23364612: 1362 chars,  10 entity mentions,  0 relations
  23368996:  836 chars,   3 entity mentions,  0 relations
  23373701: 1711 chars,  37 entity mentions,  8 relations
  23373704: 1370 chars,  10 entity mentions,  0 relations
  23376217: 1157 chars,  24 entity mentions,  0 relations
  23376249: 1274 chars,  14 entity mentions,  3 relations
  23376356: 1152 chars,  31 entity mentions,  9 relations
  23376546: 2244 chars,  37 entity mentions,  0 relations
  23380477: 1711 chars,  21 entity mentions,  3 relations
  23382379: 1746 chars,  23 entity mentions,  3 relations
  23382381: 1707 chars,  40 entity mentions,  5 relations
  23384387: 1231 chars,  24 entity mentions,  4 relations
  23384447: 2209 chars,  25 entity mentions,  0 relations
  23385325: 1293 chars,  14 entity mentions,  2 relations
  23386248: 2132 chars,  26 entity mentions,  4 relations
  23386417: 1797 chars,  26 entity mentions,  2 relations
  23389043: 1531 chars,  20 entity mentions,  0 relations
  23391443: 1428 chars,  10 entity mentions,  0 relations
  23395804: 1225 chars,  42 entity mentions,  0 relations
  23397032: 2065 chars,  39 entity mentions,  4 relations
  23400747: 1325 chars,  23 entity mentions,  0 relations
  23402270: 1146 chars,   8 entity mentions,  0 relations
  23402856: 1517 chars,  30 entity mentions,  6 relations
  23403092: 1683 chars,  20 entity mentions,  2 relations
  23403272: 1707 chars,  34 entity mentions, 15 relations
  23403537:  438 chars,   2 entity mentions,  0 relations
  23404093: 1766 chars,  16 entity mentions,  4 relations
  23406025: 1797 chars,  24 entity mentions,  0 relations
  23409765: 1334 chars,  10 entity mentions,  0 relations
  23411235: 1070 chars,  16 entity mentions,  1 relations
  23411251: 1187 chars,   7 entity mentions,  0 relations
  23411279: 1016 chars,  14 entity mentions,  5 relations
  23411280:  975 chars,  18 entity mentions,  5 relations
  23414838:  613 chars,  10 entity mentions,  3 relations
  23416002:  758 chars,  18 entity mentions, 10 relations
  23416065: 1161 chars,  27 entity mentions, 10 relations
  23423942: 1594 chars,   8 entity mentions,  0 relations
  23423972: 2122 chars,   8 entity mentions,  0 relations
  23424204: 1473 chars,  32 entity mentions, 11 relations
  23424207: 1592 chars,  56 entity mentions, 17 relations
  23425605: 1586 chars,  28 entity mentions,  2 relations
  23428155: 1167 chars,  10 entity mentions,  1 relations
  23430109: 1526 chars,  39 entity mentions, 13 relations
  23432582: 1295 chars,  22 entity mentions,  7 relations
  23434223:  811 chars,  11 entity mentions,  2 relations
  23434640:  790 chars,   9 entity mentions,  0 relations
  23434829: 1613 chars,  39 entity mentions,  4 relations
  23436791: 1596 chars,  21 entity mentions,  0 relations
  23443628: 2416 chars,  14 entity mentions,  0 relations
  23452205: 1379 chars,  13 entity mentions,  0 relations
  23454148: 1678 chars,  34 entity mentions,  3 relations
  23454527: 1651 chars,  17 entity mentions,  2 relations
  23455312: 1938 chars,  37 entity mentions, 15 relations
  23455597: 1793 chars,  21 entity mentions,  3 relations
  23456038: 1760 chars,  20 entity mentions,  0 relations
  23461378: 1566 chars,  14 entity mentions,  6 relations
  23461841: 1351 chars,  20 entity mentions,  0 relations
  23466460: 1517 chars,  13 entity mentions,  0 relations
  23466488: 2132 chars,  58 entity mentions,  8 relations
  23466526: 1898 chars,  18 entity mentions,  0 relations
  23470280: 1748 chars,  26 entity mentions,  1 relations
  23470776: 1845 chars,   9 entity mentions,  0 relations
  23473037: 1068 chars,  17 entity mentions,  0 relations
  23473679: 1077 chars,  11 entity mentions,  0 relations
  23473801: 1691 chars,  35 entity mentions, 15 relations
  23474014: 1538 chars,   7 entity mentions,  0 relations
  23474386:  574 chars,  11 entity mentions,  1 relations
  23477419: 1107 chars,  21 entity mentions,  5 relations
  23478260: 1394 chars,  14 entity mentions,  6 relations
  23485402: 1749 chars,  33 entity mentions,  2 relations
  23493372: 1983 chars,  30 entity mentions,  1 relations
  23493568: 1516 chars,  34 entity mentions,  2 relations
  23494106: 1859 chars,  27 entity mentions,  8 relations
  23494802: 1353 chars,  16 entity mentions,  2 relations
  23494944: 1627 chars,  21 entity mentions,  7 relations
